符合條件商品
資料日期：2022年 12月 30日
策略,	A06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/30),	區間漲幅%
執行時間：2023-01-04 00:51 符合檔數(658)
385	,4735.TW,豪展,39,-0.76,68,39.3,-0.76
386	,4736.TW,泰博,182,-1.62,1036,185,-1.62
387	,4743.TW,合一,244.5,-0.41,5733,245.5,-0.41
388	,4744.TW,皇將,24.75,0,141,24.75,0
389	,4745.TW,合富-KY,24.55,-1.21,23,24.85,-1.21
390	,4746.TW,台耀,70.9,-3.54,4640,73.5,-3.54
391	,4747.TW,強生,49,-4.3,698,51.2,-4.3
392	,4763.TW,材料-KY,195.5,9.83,7089,178,9.83
393	,4764.TW,雙鍵,52.8,1.54,58,52,1.54
394	,4767.TW,誠泰科技,27.1,-0.18,0,27.15,-0.18
395	,4770.TW,上品,328,2.18,1218,321,2.18
396	,4804.TW,大略-KY,11.1,0,171,11.1,0
397	,4907.TW,富宇,26.1,0.97,29,25.85,0.97
398	,4916.TW,事欣科,26.85,0.56,396,26.7,0.56
399	,4924.TW,欣厚-KY,14.25,0.71,97,14.15,0.71
400	,4938.TW,和碩,63.7,0.31,2581,63.5,0.31
401	,4946.TW,辣椒,52.7,-1.13,103,53.3,-1.13
402	,4950.TW,牧東,21,-1.87,1131,21.4,-1.87
403	,4953.TW,緯軟,84.5,2.18,141,82.7,2.18
404	,4958.TW,臻鼎-KY,107,1.9,3186,105,1.9
405	,4968.TW,立積,113.5,0.89,1699,112.5,0.89
406	,4971.TW,IET-KY,53.1,1.34,45,52.4,1.34
407	,4973.TW,廣穎,21.95,0.46,51,21.85,0.46
408	,4974.TW,亞泰,58.2,2.11,310,57,2.11
409	,4977.TW,眾達-KY,104,5.16,4730,98.9,5.16
410	,4979.TW,華星光,41.6,4.52,6172,39.8,4.52
411	,4994.TW,傳奇,41.1,0.49,127,40.9,0.49
412	,5009.TW,榮剛,36.4,-2.02,13993,37.15,-2.02
413	,5011.TW,久陽,24.6,-0.61,170,24.75,-0.61
414	,5014.TW,建錩,18.3,-1.35,1500,18.55,-1.35
415	,5015.TW,華祺,57.1,-0.35,170,57.3,-0.35
