符合條件商品
資料日期：2021年 12月  3日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-05 17:22 符合檔數(1584)
313	,2347.TW,聯強,59.6,0.17,4272,1,5,5,18
314	,2348.TW,海悅,104,0.97,298,0,0,0,12
315	,2349.TW,錸德,9.18,0.33,1988,4,0,0,7
316	,2351.TW,順德,164,5.81,4080,7,12,9,12
317	,2352.TW,佳世達,29.95,2.39,5509,1,11,14,7
318	,2353.TW,宏碁,30.15,7.3,105229,1,10,5,17
319	,2354.TW,鴻準,64.4,0.16,3201,0,14,5,14
320	,2355.TW,敬鵬,36,-0.69,8990,2,2,1,11
321	,2356.TW,英業達,25.65,0.39,8585,0,18,4,17
322	,2357.TW,華碩,365.5,0.55,2419,1,10,11,15
323	,2358.TW,廷鑫,21.5,0.47,853,10,0,0,12
324	,2359.TW,所羅門,17.3,0.29,105,0,0,0,13
325	,2360.TW,致茂,182,0.55,368,1,2,11,14
326	,2362.TW,藍天,31.45,0.48,233,1,0,0,16
327	,2363.TW,矽統,26.75,2.69,17748,5,0,0,11
328	,2364.TW,倫飛,20.1,-1.71,10,6,0,0,19
329	,2365.TW,昆盈,11,1.38,357,1,0,0,13
330	,2367.TW,燿華,18.5,0.82,4373,2,1,1,17
331	,2368.TW,金像電,73.1,-0.41,8882,3,9,16,10
332	,2369.TW,菱生,27,0.19,7950,8,3,0,12
333	,2371.TW,大同,34.6,1.76,30408,2,5,2,9
334	,2373.TW,震旦行,90.3,0.78,22,0,0,0,18
335	,2374.TW,佳能,23.85,3.47,16306,3,0,0,13
336	,2375.TW,凱美,116.5,3.1,9585,7,3,11,16
337	,2376.TW,技嘉,141,3.3,15585,2,13,7,13
338	,2377.TW,微星,161.5,0.31,3801,1,8,3,14
339	,2379.TW,瑞昱,555,0.18,1267,0,7,14,18
340	,2380.TW,虹光,13.75,4.17,3454,13,0,0,11
341	,2382.TW,廣達,87.8,-0.11,5823,0,5,8,16
342	,2383.TW,台光電,274.5,2.04,3318,3,7,12,12
343	,2385.TW,群光,81.1,0.25,810,0,7,3,9
344	,2387.TW,精元,46.45,1.2,1124,1,0,5,9
345	,2388.TW,威盛,90.4,3.2,48857,11,2,0,19
346	,2390.TW,云辰,21.1,0,1906,12,0,0,12
347	,2392.TW,正崴,38.15,0.39,638,0,1,3,12
348	,2393.TW,億光,51.8,1.57,2499,1,11,0,12
349	,2395.TW,研華,374,-1.45,1013,0,7,1,16
350	,2397.TW,友通,59.9,2.92,116,0,0,0,9
351	,2399.TW,映泰,23.8,2.59,8286,16,0,0,15
352	,2401.TW,凌陽,41.25,2.36,14097,4,2,1,11
353	,2402.TW,毅嘉,16.65,1.22,301,1,0,0,10
354	,2404.TW,漢唐,177,-1.12,833,0,6,4,13
355	,2405.TW,浩鑫,12.65,-2.69,3823,2,0,0,8
356	,2406.TW,國碩,24.85,0.4,48818,5,0,0,12
357	,2408.TW,南亞科,78.8,-1.25,33712,0,13,10,16
358	,2409.TW,友達,20.85,1.71,102948,4,12,23,13
359	,2412.TW,中華電,113.5,-0.44,4956,0,14,7,16
360	,2413.TW,環科,22.25,-0.22,2724,3,0,0,9
361	,2414.TW,精技,39.15,0.51,160,1,0,0,12
362	,2415.TW,錩新,46.95,0.32,649,5,1,0,11
363	,2417.TW,圓剛,25.3,2.43,705,3,0,0,12
364	,2419.TW,仲琦,24.1,-1.23,3180,1,0,0,14
365	,2420.TW,新巨,46.55,1.42,482,0,0,0,11
366	,2421.TW,建準,41.8,0,796,1,1,0,8
367	,2423.TW,固緯,28.2,0.18,155,1,0,0,5
368	,2424.TW,隴華,21.6,0,4,6,0,0,12
369	,2425.TW,承啟,27.35,0.18,102,2,0,0,16
370	,2426.TW,鼎元,29,4.88,14988,3,1,0,17
371	,2427.TW,三商電,11.05,0,94,1,0,0,11
372	,2428.TW,興勤,153.5,2.33,321,1,3,3,8
373	,2429.TW,銘旺科,25.4,1.6,470,2,0,0,5
374	,2430.TW,燦坤,41.8,3.72,1439,4,1,0,12
375	,2431.TW,聯昌,13.05,1.16,7312,2,0,0,14
