符合條件商品
資料日期：2022年  1月  4日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-05 08:37 符合檔數(1442)
219	,2023.TW,燁輝,24.55,-1.01,4947,0.56,0.56,0.62,0.27,0.7,0.5
220	,2024.TW,志聯,20,-1.48,143,0.54,0.49,0.26,0,0.44,0.55
221	,2027.TW,大成鋼,45.3,-1.09,12464,0.76,0.62,0.7,0.67,0.74,0.52
222	,2028.TW,威致,42.9,2.26,1612,0.79,0.46,0.68,0,0.72,0.59
223	,2029.TW,盛餘,32.2,-1.08,878,0.46,0.58,0.63,0.17,0.55,0.54
224	,2030.TW,彰源,29.2,-0.34,1860,0.72,0.44,0.54,0.06,0.49,0.52
225	,2031.TW,新光鋼,57.5,0,1344,0.62,0.62,0.76,0.43,0.67,0.58
226	,2032.TW,新鋼,23.25,-0.85,369,0.68,0.44,0.32,0.14,0.67,0.55
227	,2033.TW,佳大,17.5,-0.57,265,0.52,0.48,0.47,0,0.56,0.47
228	,2034.TW,允強,32.05,-0.47,833,0.58,0.64,0.76,0.06,0.45,0.5
229	,2035.TW,唐榮,35.75,-0.28,32,0.38,0.41,0.17,0,0.09,0.33
230	,2038.TW,海光,34.8,0.43,1506,0.72,0.54,0.5,0,0.71,0.62
231	,2049.TW,上銀,306,1.83,2021,0.48,0.78,0.73,0.63,0.54,0.44
232	,2059.TW,川湖,501,-2.15,167,0.46,0.65,0.5,0.39,0.56,0.43
233	,2062.TW,橋椿,27.65,0.36,172,0.48,0.66,0.28,0,0.19,0.47
234	,2063.TW,世鎧,36.5,0.83,58,0.52,0.45,0.33,0,0,0.13
235	,2064.TW,晉椿,18.35,0.82,12,0.47,0.37,0,0,0,0
236	,2065.TW,世豐,46.9,0,60,0.54,0.57,0.31,0,0.13,0.48
237	,2066.TW,世德,62.6,-0.95,57,0.41,0.51,0.14,0,0,0.3
238	,2069.TW,運錩,33.65,-1.46,1634,0.7,0.6,0.47,0,0.63,0.51
239	,2070.TW,精湛,38.1,0.26,153,0.59,0.38,0,0,0,0
240	,2101.TW,南港,40,-0.5,2112,0.56,0.56,0.57,0.25,0.5,0.36
241	,2102.TW,泰豐,28.7,2.14,1012,0.54,0.6,0.68,0.2,0.63,0.44
242	,2103.TW,台橡,39.3,-1.87,7304,0.76,0.6,0.54,0.32,0.57,0.48
243	,2104.TW,國際中橡,27.45,-1.26,3215,0.64,0.58,0.7,0.14,0.59,0.46
244	,2105.TW,正新,35.9,0.14,3628,0.5,0.6,0.64,0.52,0.39,0.56
245	,2106.TW,建大,30.9,0,539,0.48,0.62,0.56,0.38,0.36,0.58
246	,2107.TW,厚生,22.85,-0.44,271,0.4,0.6,0.59,0.15,0.14,0.47
247	,2108.TW,南帝,85.1,0.12,1553,0.54,0.72,0.48,0.6,0.6,0.5
248	,2109.TW,華豐,16.8,0.3,140,0.44,0.69,0.43,0,0.2,0.52
249	,2114.TW,鑫永銓,122,0.41,45,0.55,0.58,0.55,0,0.21,0.45
250	,2115.TW,六暉-KY,40.6,0.12,38,0.53,0.55,0.22,0,0,0.35
251	,2201.TW,裕隆,43.25,0.93,6062,0.64,0.68,0.6,0.41,0.52,0.42
252	,2204.TW,中華,63.7,0,424,0.5,0.66,0.6,0.5,0.4,0.42
253	,2206.TW,三陽工業,27.05,0.37,427,0.44,0.74,0.63,0.25,0.32,0.54
254	,2207.TW,和泰車,618,0.32,135,0.3,0.84,0.44,0.45,0.09,0.46
255	,2208.TW,台船,22.2,0.23,2606,0.64,0.58,0.6,0.1,0.57,0.58
256	,2211.TW,長榮鋼,55.2,-0.36,333,0.55,0.62,0.18,0,0.6,0.55
257	,2221.TW,大甲,41.5,-0.12,191,0.58,0.4,0.5,0,0.67,0.38
258	,2228.TW,劍麟,71.9,-1.24,148,0.57,0.58,0.34,0,0.11,0.51
259	,2230.TW,泰茂,15,2.04,92,0.48,0.51,0,0,0,0.06
260	,2231.TW,為升,192,2.67,871,0.62,0.58,0.7,0.5,0.54,0.52
261	,2233.TW,宇隆,106.5,0.95,2480,0.54,0.48,0.53,0.67,0.4,0.46
262	,2235.TW,謚源,39.3,0,0,0.33,0.43,0,0,0,0
263	,2236.TW,百達-KY,27.85,-0.18,19,0.56,0.54,0.37,0,0,0.18
264	,2239.TW,英利-KY,86,2.38,309,0.55,0.66,0.52,0,0.35,0.52
265	,2241.TW,艾姆勒,51.7,-0.39,118,0.72,0.58,0.29,0,0.41,0.48
266	,2243.TW,宏旭-KY,18.05,-0.28,108,0.53,0.43,0.08,0,0.43,0.36
267	,2247.TW,汎德永業,216.5,0.23,40,0.47,0.57,0.28,0,0,0.43
268	,2250.TW,IKKA-KY,118,-1.67,136,0.75,0.35,0,0,0,0
269	,2301.TW,光寶科,64.4,1.58,5686,0.42,0.58,0.48,0.64,0.56,0.38
270	,2302.TW,麗正,17.3,-1.7,2283,0.51,0.52,0.35,0,0.53,0.38
