符合條件商品
資料日期：2023年  4月 20日
策略,	01主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-20 23:57 符合檔數(641)
397	,3712.TW,永崴投控,37.3,-4.36,5281,0.7
398	,6796.TW,晉弘,108,-3.14,771,0.7
399	,6550.TW,北極星藥業-KY,97.5,-1.91,4241,0.7
400	,2369.TW,菱生,15.05,-2.9,966,0.7
401	,8171.TW,天宇,58.3,-2.67,2047,0.7
402	,1301.TW,台塑,92.1,-0.43,5089,0.7
403	,3218.TW,大學光,405.5,-1.93,493,0.7
404	,5328.TW,華容,14,-1.41,1475,0.7
405	,3231.TW,緯創,45.8,0.33,59554,0.7
406	,3004.TW,豐達科,115.5,-4.94,4930,0.7
407	,1319.TW,東陽,47.15,-3.38,5116,0.7
408	,2313.TW,華通,43.7,-0.23,9664,0.69
409	,6472.TW,保瑞,789,-6.74,1186,0.69
410	,4168.TW,醣聯,32.2,-2.42,1631,0.69
411	,2332.TW,友訊,18.55,-2.11,4252,0.69
412	,4967.TW,十銓,73.5,-2.78,7535,0.69
413	,6576.TW,逸達,95.6,-2.45,676,0.69
414	,8121.TW,越峰,29.7,-1.82,2620,0.69
415	,4121.TW,優盛,25.5,0.39,2936,0.69
416	,6143.TW,振曜,95.3,-5.17,4644,0.69
417	,8085.TW,福華,22.95,-3.77,1337,0.68
418	,4102.TW,永日,31.4,0.64,4200,0.68
419	,2460.TW,建通,22.85,-4.19,1048,0.68
420	,9914.TW,美利達,168,-0.88,399,0.68
421	,6485.TW,點序,103,-6.79,2119,0.68
422	,5512.TW,力麒,9.98,-1.67,3479,0.68
423	,2337.TW,旺宏,34.1,0.44,4574,0.68
424	,2637.TW,慧洋-KY,62.7,-1.26,3776,0.68
425	,3652.TW,精聯,32.95,-9.97,8125,0.68
426	,1416.TW,廣豐,11.5,-1.71,298,0.68
427	,4306.TW,炎洲,16.55,-0.3,1385,0.68
428	,6488.TW,環球晶,482,0.21,1514,0.68
429	,3034.TW,聯詠,445,-1.11,2613,0.67
